age,gender,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,Churn 
25,M,Town,Gold Membership,2016-03-22,Yes,CID16146,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,46.71,3291.13,1.14868559412516e+16,Yes,No,No,Not Applicable,Poor Customer Service,0
46,M,Town,Platinum Membership,2017-03-05,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,12,306.14,8716.3,9376963074282720.0,Yes,No,Yes,Solved in Follow-up,Quality Customer Care,0
36,M,City,Basic Membership,2015-01-19,Yes,CID4925,Credit/Debit Card Offers,?,Mobile_Data,9,221.72,11273.22,9376672801983290.0,No,Yes,No,Not Applicable,Poor Website,1
52,M,City,Gold Membership,2017-03-07,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,9,239.34,17319.58,1.25098519685183e+16,Yes,No,No,Not Applicable,No reason specified,1
34,M,City,Silver Membership,2015-08-18,?,CID32679,Without Offers,Smartphone,Mobile_Data,20,34.46,16009.34,712.73,Yes,No,Yes,Solved,Poor Product Quality,1
31,F,Town,Basic Membership,2016-06-23,?,CID43417,Without Offers,Smartphone,Mobile_Data,21,309.08,21555.53,620.94,No,Yes,No,Not Applicable,Poor Product Quality,1
53,F,Village,No Membership,2015-10-08,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,8,237.58,5194.83,609.6,Yes,No,Yes,No Information Available,No reason specified,1
22,F,Town,No Membership,2015-04-08,Yes,CID29256,Without Offers,Smartphone,Mobile_Data,14,30.45,28732.55,656.15,No,Yes,Yes,Solved,No reason specified,1
20,F,Town,Basic Membership,2017-07-28,Yes,xxxxxxxx,Without Offers,?,Wi-Fi,14,51.57,34570.1,637.47,Yes,No,No,Not Applicable,Poor Customer Service,1
56,F,City,No Membership,2016-02-27,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,11,33.29,29211.77,584.89,Yes,No,Yes,Solved,Too many ads,1
59,M,Town,No Membership,2017-11-23,Yes,CID3588,Gift Vouchers/Coupons,Smartphone,Mobile_Data,16,148.71,24703.93,3310992524792610.0,No,Yes,Yes,Solved,Too many ads,1
62,M,Town,Silver Membership,2015-05-07,?,CID17166,Without Offers,Both,Wi-Fi,8,-5604799564526560.0,25127.87,623.29,Yes,No,No,Not Applicable,No reason specified,1
16,F,Village,Basic Membership,2016-11-10,Yes,CID24806,Credit/Debit Card Offers,Desktop,Fiber_Optic,11,75.54,39522.48,655.74,Yes,No,No,Not Applicable,Poor Product Quality,1
19,M,Town,Basic Membership,2017-04-09,Yes,CID25426,Credit/Debit Card Offers,Desktop,Mobile_Data,21,159.09,29522.94,1760657090086310.0,No,Yes,Yes,Solved in Follow-up,Too many ads,1
13,F,Village,Silver Membership,2015-06-02,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,10,228.05,19004.18,632.59,Yes,No,No,Not Applicable,Poor Product Quality,1
14,F,Village,Platinum Membership,2017-06-09,Yes,CID57694,Credit/Debit Card Offers,Desktop,Mobile_Data,16,114.81,2690.02,1.00663606359449e+16,No,Yes,Yes,Solved,Products always in Stock,0
57,M,City,Gold Membership,2017-04-28,Yes,CID32065,Credit/Debit Card Offers,Desktop,Mobile_Data,16,65.6,40151.96,673.26,No,Yes,No,Not Applicable,No reason specified,1
31,F,City,Gold Membership,2015-11-14,No,xxxxxxxx,Without Offers,?,Wi-Fi,15,84.43,47009.1,714.66,No,Yes,No,Not Applicable,Poor Customer Service,1
29,F,City,Silver Membership,2017-07-20,Yes,CID49622,Credit/Debit Card Offers,?,Wi-Fi,12,31.49,23889.63,647.54,No,Yes,No,Not Applicable,Poor Product Quality,1
34,M,Town,Silver Membership,2015-11-27,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Fiber_Optic,14,244.46,90064.38,708.04,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
57,F,City,Silver Membership,2017-03-25,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,9,109.08,75447.17,738.62,Yes,No,Yes,Solved in Follow-up,Reasonable Price,0
46,F,Village,Gold Membership,2017-02-10,Yes,CID16324,Credit/Debit Card Offers,Desktop,Wi-Fi,16,164.39,6970.6,764.78,No,Yes,No,Not Applicable,Poor Website,1
41,F,Village,No Membership,2017-05-09,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,13,34.2,35699.6,639.53,Yes,No,No,Not Applicable,Poor Customer Service,1
11,M,Village,Basic Membership,2017-08-19,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,13,94.8,26634.27,621.99,No,Yes,Yes,Solved,Too many ads,0
40,F,City,Premium Membership,2016-09-09,Yes,CID26330,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,-999,104.47,87823.92,-3.01998780457293e+16,Yes,No,No,Not Applicable,Reasonable Price,0
43,M,City,No Membership,2016-05-03,Yes,CID5719,Without Offers,Smartphone,Fiber_Optic,14,34.16,47660.34,654.15,Yes,No,Yes,Solved in Follow-up,Poor Website,1
32,F,Town,No Membership,2017-02-08,No,xxxxxxxx,Without Offers,?,Wi-Fi,1,425.07,45669.06,600.48,Yes,No,No,Not Applicable,Poor Product Quality,1
38,M,City,No Membership,2015-05-14,Yes,CID27431,Without Offers,Both,Mobile_Data,8,556.21,37116.13,666.78,No,Yes,No,Not Applicable,Too many ads,1
56,F,Town,Platinum Membership,2015-07-26,?,CID14575,Credit/Debit Card Offers,Both,Mobile_Data,8,-7182130917742360.0,10177.99,710.29,No,Yes,No,Not Applicable,User Friendly Website,0
12,M,City,Gold Membership,2015-10-03,Yes,CID49459,Without Offers,Desktop,Wi-Fi,6,31.26,69759.67,4.51730023176353e+16,Yes,No,Yes,No Information Available,Products always in Stock,0
30,M,Town,No Membership,2017-12-05,Yes,CID35419,Credit/Debit Card Offers,Desktop,Wi-Fi,10,109.41,49857.19,552.76,No,Yes,No,Not Applicable,Too many ads,0
41,F,Town,Premium Membership,2017-01-15,No,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,17,469.64,73550.41,760.76,No,Yes,Yes,Solved,Reasonable Price,0
17,F,City,Platinum Membership,2016-08-30,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15,390.94,9425.86,822.23,No,Yes,No,Not Applicable,Reasonable Price,0
63,M,Town,Premium Membership,2017-07-18,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,5,33.36,22722.57,709.49,No,Yes,Yes,Solved,Poor Product Quality,1
13,F,Town,Premium Membership,2015-09-08,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,12,33.53,964.04,742.56,Yes,No,No,Not Applicable,Poor Customer Service,1
55,M,Town,Platinum Membership,2017-05-08,Yes,CID3741,Without Offers,Desktop,Mobile_Data,-999,602.27,5584.47,771.34,No,Yes,No,Not Applicable,Poor Website,1
20,M,City,Basic Membership,2017-05-22,No,xxxxxxxx,Without Offers,?,Mobile_Data,15,155.12,27915.06,630.41,Yes,No,No,Not Applicable,Poor Customer Service,1
29,F,Town,Premium Membership,2015-07-02,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,4,1.35223667226078e+16,38272.39,5915957350275820.0,No,Yes,No,Not Applicable,User Friendly Website,0
27,F,Village,No Membership,2015-08-27,Yes,CID45189,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10,1797988447726370.0,12182.71,688.22,Yes,Yes,No,Not Applicable,Poor Website,1
60,F,Town,Silver Membership,2017-02-04,Yes,CID30420,Credit/Debit Card Offers,Smartphone,Mobile_Data,5,101.23,35765.25,712.47,Yes,No,No,Not Applicable,No reason specified,1
23,M,City,No Membership,2015-01-27,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,-999,142.61,5368.41,638.2,Yes,No,No,Not Applicable,Poor Customer Service,1
17,F,Village,No Membership,2015-06-02,Yes,CID46265,Credit/Debit Card Offers,Smartphone,Mobile_Data,-999,97.92,20638.95,620.02,Yes,No,No,Not Applicable,Poor Website,1
15,M,City,Silver Membership,2017-06-25,Yes,CID42699,Without Offers,Both,Mobile_Data,14,693.88,3450.53,688.14,Yes,Yes,Yes,Unsolved,Poor Website,1
38,M,Town,Gold Membership,2015-07-23,Yes,CID35829,Gift Vouchers/Coupons,?,Fiber_Optic,23,62.04,45888.55,700.27,Yes,No,Yes,Solved,Poor Product Quality,1
12,M,City,Gold Membership,2017-02-17,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,25,83.1,6776.04,607.29,Yes,No,No,Not Applicable,Poor Website,1
10,M,City,Premium Membership,2017-05-29,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,15,354.19,50497.05,754.46,Yes,No,No,Not Applicable,Reasonable Price,0
34,M,City,Silver Membership,2016-12-04,?,CID25018,Credit/Debit Card Offers,Desktop,Fiber_Optic,15,619.21,45695.14,765.52,Yes,Yes,No,Not Applicable,Quality Customer Care,0
19,M,Village,Silver Membership,2017-05-08,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,17,38.5,96704.84,1.01255506382982e+16,Yes,No,Yes,Solved,User Friendly Website,0
47,M,Town,Silver Membership,2016-09-05,Yes,CID38136,Gift Vouchers/Coupons,Desktop,Wi-Fi,6,377.99,32128.39,655.91,Yes,No,No,Not Applicable,Too many ads,1
50,F,City,No Membership,2016-06-06,Yes,CID54884,Without Offers,Desktop,Wi-Fi,12,75.49,16439.65,1.05424156179544e+16,No,Yes,Yes,Solved,No reason specified,1
43,M,Town,Gold Membership,2017-05-05,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,12,116.96,46172.28,630.38,No,Yes,Yes,Solved,Poor Website,1
26,M,Village,Premium Membership,2017-05-27,Yes,CID51872,Credit/Debit Card Offers,Smartphone,Wi-Fi,16,705.87,38875.74,795.2,Yes,No,Yes,Unsolved,User Friendly Website,0
51,M,Village,No Membership,2016-04-04,?,CID26341,Without Offers,Both,Fiber_Optic,6,318.78,40600.16,598.64,Yes,Yes,Yes,Solved in Follow-up,Too many ads,1
64,F,Town,Silver Membership,2016-10-12,Yes,CID40499,Credit/Debit Card Offers,Smartphone,Fiber_Optic,-999,123.46,23009.85,730.18,No,Yes,Yes,No Information Available,Poor Product Quality,1
13,F,Village,Premium Membership,2015-10-26,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,15,61.14,24708.52,709.72,No,Yes,No,Not Applicable,Poor Customer Service,1
14,M,City,Gold Membership,2015-07-17,Yes,CID61094,Without Offers,Desktop,Fiber_Optic,8,183.31,10176.3,785.0,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,1
24,F,Town,Basic Membership,2016-09-05,Yes,CID20728,Credit/Debit Card Offers,Smartphone,Mobile_Data,6,32.42,34163.95,634.03,Yes,No,No,Not Applicable,No reason specified,1
39,F,Village,Premium Membership,2015-09-30,Yes,CID29718,Credit/Debit Card Offers,Smartphone,Wi-Fi,13,131.54,13274.1,719.74,No,Yes,Yes,Unsolved,Poor Customer Service,1
41,M,Town,No Membership,2015-08-29,Yes,CID43554,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21,228.2,4114.85,624.13,No,Yes,No,Not Applicable,Poor Customer Service,1
26,M,City,Platinum Membership,2016-03-02,Yes,CID27876,Credit/Debit Card Offers,Smartphone,Mobile_Data,10,32.71,50040.24,789.1,No,Yes,No,Not Applicable,Reasonable Price,0
57,F,Town,Silver Membership,2017-07-06,Yes,CID10820,Without Offers,Desktop,Wi-Fi,4,733.94,22749.78,682.7,Yes,Yes,Yes,Solved,No reason specified,1
20,F,City,Silver Membership,2015-08-22,Yes,CID32107,Credit/Debit Card Offers,?,Fiber_Optic,-999,70.73,41360.85,777.0,No,Yes,Yes,Solved,Products always in Stock,0
63,M,Town,Platinum Membership,2015-05-10,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,7,33.46,8625.73,746.74,Yes,No,No,Not Applicable,User Friendly Website,0
63,M,City,Platinum Membership,2016-06-28,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,10,230.6,64913.77,843.27,Yes,No,No,Not Applicable,User Friendly Website,0
27,M,Village,Basic Membership,2015-11-07,?,CID46587,Credit/Debit Card Offers,Smartphone,Fiber_Optic,-999,30.49,47968.41,635.32,No,Yes,Yes,Solved in Follow-up,No reason specified,0
43,F,Village,No Membership,2016-07-17,?,CID62018,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,13,41.91,13351.12,631.71,Yes,No,No,Not Applicable,Poor Customer Service,1
57,M,Town,Premium Membership,2015-01-02,Yes,CID43535,Credit/Debit Card Offers,Smartphone,Wi-Fi,6,802.66,45849.78,758.59,No,Yes,No,Not Applicable,User Friendly Website,0
53,F,City,No Membership,2016-10-29,Yes,CID9411,Credit/Debit Card Offers,Smartphone,Wi-Fi,9,34.68,24830.86,561.95,Yes,No,Yes,Solved,No reason specified,1
36,F,City,No Membership,2017-06-30,Yes,CID6744,Credit/Debit Card Offers,Smartphone,Wi-Fi,14,60.91,34515.29,699.63,No,Yes,No,Not Applicable,Poor Product Quality,1
18,M,City,Silver Membership,2015-06-06,Yes,CID28263,Credit/Debit Card Offers,Smartphone,Wi-Fi,7,44.32,6339.15,769.68,Yes,No,No,Not Applicable,Poor Website,1
14,F,Town,Silver Membership,2016-01-15,No,xxxxxxxx,Credit/Debit Card Offers,Both,Wi-Fi,14,231.23,14553.59,3.44020619929256e+16,Yes,Yes,No,Not Applicable,Poor Customer Service,1
40,F,Town,No Membership,2016-12-23,?,CID50203,Gift Vouchers/Coupons,Desktop,Wi-Fi,24,114.74,7287.92,513.19,Yes,No,No,Not Applicable,No reason specified,1
19,F,Town,Silver Membership,2017-02-19,Yes,CID40828,Without Offers,Smartphone,Fiber_Optic,6,147.37,3168.96,1.14534327549836e+16,Yes,No,No,Not Applicable,Poor Product Quality,1
59,M,Town,No Membership,2016-02-13,Yes,CID32190,Gift Vouchers/Coupons,Smartphone,Mobile_Data,-999,34.18,3269.66,1.06363715195727e+16,Yes,No,Yes,No Information Available,Poor Product Quality,1
13,M,City,Gold Membership,2016-10-26,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,10,275.41,33734.99,3015974282766650.0,Yes,No,Yes,Solved in Follow-up,Reasonable Price,0
48,F,Town,Basic Membership,2017-10-18,Yes,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,8,-9195543793196900.0,17800.2,519.92,Yes,No,No,Not Applicable,Poor Product Quality,1
58,M,City,No Membership,2016-07-04,Yes,CID39343,Gift Vouchers/Coupons,Both,Mobile_Data,16,603.69,49812.78,542.98,Yes,Yes,No,Not Applicable,Poor Product Quality,1
53,M,City,Silver Membership,2015-11-23,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,19,33.71,32464.86,605.39,Yes,No,Yes,Solved,Poor Product Quality,1
55,M,Town,Gold Membership,2017-03-29,Yes,CID58765,Without Offers,?,Fiber_Optic,12,34.71,37528.37,626.77,Yes,No,Yes,No Information Available,Poor Website,1
49,F,Town,Premium Membership,2016-11-09,Yes,CID49596,Without Offers,Desktop,Mobile_Data,11,-8366448839878380.0,2761.29,779.24,No,Yes,Yes,Unsolved,Poor Product Quality,1
55,M,City,Basic Membership,2016-05-19,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,18,207.07,25136.94,597.81,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1
10,M,Town,Silver Membership,2015-06-14,No,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,13,206.5,36324.84,763.54,No,Yes,Yes,Solved in Follow-up,No reason specified,1
34,M,Town,Premium Membership,2017-07-20,No,xxxxxxxx,Without Offers,?,Fiber_Optic,16,32.41,35946.01,781.74,No,Yes,Yes,Unsolved,Poor Customer Service,1
41,F,City,No Membership,2017-04-06,Yes,CID20981,Gift Vouchers/Coupons,Desktop,Wi-Fi,5,1595.55,6326.5,650.62,Yes,Yes,Yes,No Information Available,Poor Customer Service,1
48,M,Town,Platinum Membership,2016-03-22,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,23,103.31,11821.46,780.18,Yes,No,No,Not Applicable,Too many ads,1
44,F,Town,Basic Membership,2015-07-04,Yes,CID37784,Gift Vouchers/Coupons,Desktop,Wi-Fi,5,865.96,35588.42,648.46,Yes,Yes,Yes,Solved,Poor Customer Service,1
63,M,Town,Silver Membership,2015-07-31,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,188.86,19117.99,1.07310412471885e+16,No,Yes,Yes,Unsolved,Poor Website,1
21,M,City,Silver Membership,2017-10-07,Yes,CID22084,Without Offers,Smartphone,Wi-Fi,17,32.96,36112.46,689.21,Yes,No,No,Not Applicable,Poor Customer Service,1
45,M,Town,Basic Membership,2016-07-28,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,16,177.96,5471.59,2.34783414953452e+16,No,Yes,No,Not Applicable,Too many ads,1
50,F,Village,Premium Membership,2017-07-20,Yes,CID14128,Without Offers,Smartphone,Wi-Fi,-999,733.48,34141.67,795.89,Yes,Yes,Yes,Unsolved,Too many ads,1
43,F,City,No Membership,2015-03-23,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,18,451.36,11141.12,1.14215734026147e+16,Yes,No,No,Not Applicable,Too many ads,1
34,M,Town,Gold Membership,2015-10-12,Yes,CID23922,Without Offers,Smartphone,Wi-Fi,12,55.05,19626.29,660.34,Yes,No,Yes,Unsolved,Poor Customer Service,1
40,M,City,No Membership,2016-10-20,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,16,197.73,26217.16,595.84,No,Yes,Yes,Unsolved,Too many ads,1
46,M,Village,Platinum Membership,2017-11-08,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,-999,51.38,36585.46,713.87,No,Yes,Yes,Solved in Follow-up,Poor Website,1
48,F,Town,Basic Membership,2015-06-04,?,CID5950,Without Offers,Desktop,Fiber_Optic,5,33.94,48176.29,1.80481007991678e+16,Yes,No,Yes,Solved in Follow-up,Poor Website,1
62,M,Town,Basic Membership,2015-10-19,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,13,224.2,18561.15,707.38,No,Yes,Yes,No Information Available,Poor Customer Service,1
24,F,Town,No Membership,2015-09-08,Yes,CID38339,Credit/Debit Card Offers,Smartphone,Wi-Fi,7,372.32,14602.26,663.05,Yes,No,No,Not Applicable,No reason specified,1
41,F,City,Basic Membership,2015-02-02,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,10,210.04,6721.92,1.00027642774368e+16,Yes,No,Yes,Solved,Too many ads,1
23,F,City,No Membership,2015-12-27,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,12,109.99,24568.1,558.61,Yes,No,No,Not Applicable,No reason specified,1
59,F,Town,No Membership,2015-10-08,Yes,CID56430,Without Offers,?,Wi-Fi,12,32.66,22751.65,647.46,Yes,No,Yes,Solved in Follow-up,Too many ads,1
41,M,Town,Premium Membership,2015-01-31,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Mobile_Data,11,398.13,94592.05,803.98,No,Yes,Yes,No Information Available,Products always in Stock,0
30,F,Town,Basic Membership,2015-04-11,Yes,CID48805,Without Offers,Both,Fiber_Optic,5,1383.7,15227.79,2.32273902501109e+16,Yes,Yes,No,Not Applicable,Too many ads,1
30,F,City,Silver Membership,2017-11-25,Yes,CID17628,Credit/Debit Card Offers,Desktop,Mobile_Data,14,50.82,16680.24,723.4,No,Yes,No,Not Applicable,Too many ads,1
17,M,Village,Platinum Membership,2016-10-19,Yes,CID59351,Without Offers,Desktop,Wi-Fi,14,547.32,27918.51,9651348772878760.0,Yes,No,Yes,No Information Available,User Friendly Website,0
57,M,City,No Membership,2015-12-25,Yes,CID44385,Gift Vouchers/Coupons,Desktop,Mobile_Data,20,185.79,2825.48,609.74,Yes,No,Yes,No Information Available,Poor Website,1
35,M,City,Gold Membership,2016-09-01,?,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,23,365.58,69778.03,730.78,Yes,Yes,No,Not Applicable,Quality Customer Care,0
20,F,City,No Membership,2015-10-05,Yes,CID2582,Credit/Debit Card Offers,?,Fiber_Optic,13,51.2,35345.57,686.64,No,Yes,Yes,Unsolved,No reason specified,1
47,M,City,Platinum Membership,2017-03-14,Yes,CID39307,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18,31.79,10539.85,3797234604109820.0,No,Yes,Yes,Solved in Follow-up,No reason specified,1
64,M,Town,Basic Membership,2016-06-03,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,11,156.15,9966.83,3.51081398296255e+16,No,Yes,Yes,Solved,Too many ads,1
58,M,Town,Platinum Membership,2017-04-02,?,CID8840,Gift Vouchers/Coupons,Desktop,Fiber_Optic,-999,-8601864672449020.0,17288.47,774.17,No,Yes,Yes,Solved in Follow-up,Too many ads,1
21,F,Town,Silver Membership,2017-03-18,Yes,CID5294,Gift Vouchers/Coupons,?,Mobile_Data,17,30.6,42977.59,669.77,No,Yes,Yes,Solved,Poor Product Quality,1
28,F,City,Basic Membership,2017-10-25,Yes,CID314,Without Offers,Smartphone,Mobile_Data,10,30.51,19342.15,614.98,Yes,No,Yes,Solved,Poor Website,1
63,F,Town,Basic Membership,2016-07-06,?,CID63946,Credit/Debit Card Offers,Both,Mobile_Data,11,210.15,40204.24,685.44,No,Yes,No,Not Applicable,Poor Product Quality,1
52,F,Town,Silver Membership,2015-08-19,Yes,CID50258,Credit/Debit Card Offers,Desktop,Fiber_Optic,9,489.14,20397.01,711.89,Yes,Yes,No,Not Applicable,Poor Product Quality,1
11,F,Town,Basic Membership,2016-11-23,?,CID51049,Without Offers,?,Fiber_Optic,13,424.29,44843.55,534.45,Yes,No,No,Not Applicable,Poor Customer Service,1
43,F,Town,Gold Membership,2016-07-12,?,CID25166,Without Offers,Desktop,Mobile_Data,15,186.42,38477.42,715.34,No,Yes,No,Not Applicable,Too many ads,1
23,M,City,Silver Membership,2016-10-07,?,CID51723,Gift Vouchers/Coupons,Both,Wi-Fi,20,293.5,16037.72,778.28,No,Yes,Yes,No Information Available,Reasonable Price,0
35,F,Town,Silver Membership,2015-06-12,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,14,440.77,30013.8,793.86,No,Yes,No,Not Applicable,Poor Website,1
47,F,Town,Basic Membership,2017-03-02,?,CID17601,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13,71.24,8277.42,593.11,No,Yes,Yes,Unsolved,Poor Product Quality,1
54,F,City,No Membership,2017-06-23,Yes,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14,120.03,19402.35,682.45,No,Yes,No,Not Applicable,No reason specified,1
37,M,Village,Platinum Membership,2015-08-04,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,9,-8124720485282750.0,24600.92,779.57,No,Yes,Yes,Unsolved,Products always in Stock,0
30,F,Town,Basic Membership,2016-08-19,Yes,CID27629,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16,170.68,43017.71,673.78,Yes,No,Yes,Unsolved,Poor Product Quality,1
12,M,Town,Basic Membership,2015-03-08,Yes,CID42535,Credit/Debit Card Offers,Both,Mobile_Data,3,1259.47,42353.88,676.61,Yes,No,Yes,Solved,No reason specified,1
44,F,City,No Membership,2017-12-22,Yes,CID22326,Gift Vouchers/Coupons,Desktop,Fiber_Optic,19,32.8,31067.81,687.95,No,Yes,No,Not Applicable,Too many ads,1
11,F,Town,No Membership,2016-04-05,Yes,CID47724,Without Offers,Smartphone,Fiber_Optic,12,663.88,33238.59,557.62,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,1
32,F,City,Gold Membership,2016-05-28,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,16,51.43,55917.02,737.84,Yes,No,No,Not Applicable,Reasonable Price,0
42,F,City,Silver Membership,2016-10-08,No,xxxxxxxx,Gift Vouchers/Coupons,?,Fiber_Optic,17,44.35,47165.77,731.57,Yes,No,No,Not Applicable,User Friendly Website,0
34,F,City,Basic Membership,2017-02-10,Yes,CID53743,Without Offers,Desktop,Fiber_Optic,17,184.74,18390.44,716.26,No,Yes,Yes,Unsolved,Poor Product Quality,1
16,M,City,Premium Membership,2017-11-08,Yes,CID44364,Without Offers,Smartphone,Mobile_Data,21,578.9,31773.07,760.08,No,Yes,No,Not Applicable,Too many ads,1
28,M,City,Basic Membership,2017-02-21,Yes,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,8,-8387707857040940.0,4818.69,643.82,No,Yes,No,Not Applicable,Too many ads,1
64,M,Village,No Membership,2016-05-16,Yes,CID56618,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10,33.82,25020.03,564.46,No,Yes,No,Not Applicable,Poor Customer Service,1
48,M,Town,Basic Membership,2015-05-07,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,9,107.26,1982.45,706.86,Yes,No,No,Not Applicable,Too many ads,1
26,F,City,Silver Membership,2015-01-21,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,9,58.43,19738.78,773.2,No,Yes,No,Not Applicable,No reason specified,1
33,M,Town,Premium Membership,2017-01-29,Yes,CID12481,Without Offers,Smartphone,Fiber_Optic,15,68.27,47119.56,793.03,Yes,No,Yes,Solved,No reason specified,1
18,F,City,No Membership,2017-12-24,Yes,CID28500,Gift Vouchers/Coupons,Smartphone,Mobile_Data,6,430.65,27046.86,600.05,No,Yes,No,Not Applicable,Poor Customer Service,1
29,F,Town,Basic Membership,2015-07-28,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,18,126.86,38660.03,684.59,Yes,No,Yes,Solved in Follow-up,No reason specified,1
11,M,Town,Gold Membership,2016-01-12,Yes,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,3,141.17,11250.95,707.95,Yes,No,Yes,Unsolved,Poor Customer Service,1
43,M,City,Premium Membership,2016-04-27,Yes,CID39574,Gift Vouchers/Coupons,Desktop,Mobile_Data,8,99.71,21963.34,720.37,Yes,No,Yes,Solved,Poor Customer Service,1
43,M,City,Basic Membership,2017-10-25,Yes,CID28018,Gift Vouchers/Coupons,Desktop,Mobile_Data,15,51.02,32673.02,668.36,No,Yes,No,Not Applicable,Poor Product Quality,1
45,M,City,Gold Membership,2015-10-28,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,16,30.23,69190.14,792.19,No,Yes,Yes,Solved,Products always in Stock,0
39,M,City,Basic Membership,2015-09-03,Yes,CID19266,Without Offers,Both,Mobile_Data,15,559.0,43545.32,2.37539620842446e+16,Yes,Yes,No,Not Applicable,Poor Website,1
24,F,City,Basic Membership,2015-05-18,Yes,CID37903,Gift Vouchers/Coupons,?,Mobile_Data,7,31.93,20386.7,637.16,No,Yes,Yes,Unsolved,Poor Customer Service,1
47,M,Town,No Membership,2017-04-08,No,xxxxxxxx,Credit/Debit Card Offers,?,Fiber_Optic,18,472.59,42427.07,680.52,Yes,No,Yes,Unsolved,Poor Website,1
38,F,Town,Basic Membership,2017-11-13,Yes,CID58718,Credit/Debit Card Offers,Both,Wi-Fi,-999,256.89,42778.77,590.55,Yes,Yes,Yes,Solved in Follow-up,No reason specified,1
19,F,City,Gold Membership,2016-10-05,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Fiber_Optic,18,413.77,38056.69,1.12046729120833e+16,No,Yes,Yes,Unsolved,No reason specified,1
